subject	label	measurement	mean
1	LAYING	tbodyaccmeanx	0.22159824394
1	LAYING	tbodyaccmeany	-0.0405139534294
1	LAYING	tbodyaccmeanz	-0.11320355358
1	LAYING	tbodyaccstandarddeviationx	-0.9280564692
1	LAYING	tbodyaccstandarddeviationy	-0.83682740562
1	LAYING	tbodyaccstandarddeviationz	-0.826061401628
1	LAYING	tgravityaccmeanx	-0.24888179828
1	LAYING	tgravityaccmeany	0.70554977346
1	LAYING	tgravityaccmeanz	0.4458177198
1	LAYING	tgravityaccstandarddeviationx	-0.8968300184
1	LAYING	tgravityaccstandarddeviationy	-0.90772000676
1	LAYING	tgravityaccstandarddeviationz	-0.85236629022
1	LAYING	tbodyaccjerkmeanx	0.0810865342
1	LAYING	tbodyaccjerkmeany	0.0038382040088
1	LAYING	tbodyaccjerkmeanz	0.010834236361
1	LAYING	tbodyaccjerkstandarddeviationx	-0.958482112
1	LAYING	tbodyaccjerkstandarddeviationy	-0.9241492736
1	LAYING	tbodyaccjerkstandarddeviationz	-0.9548551108
1	LAYING	tbodygyromeanx	-0.016553093978
1	LAYING	tbodygyromeany	-0.064486124088
1	LAYING	tbodygyromeanz	0.14868943626
1	LAYING	tbodygyrostandarddeviationx	-0.87354386782
1	LAYING	tbodygyrostandarddeviationy	-0.9510904402
1	LAYING	tbodygyrostandarddeviationz	-0.9082846626
1	LAYING	tbodygyrojerkmeanx	-0.107270949192
1	LAYING	tbodygyrojerkmeany	-0.04151728689
1	LAYING	tbodygyrojerkmeanz	-0.0740501211
1	LAYING	tbodygyrojerkstandarddeviationx	-0.9186085208
1	LAYING	tbodygyrojerkstandarddeviationy	-0.9679072436
1	LAYING	tbodygyrojerkstandarddeviationz	-0.9577901596
1	LAYING	tbodyaccmagmean	-0.8419291525
1	LAYING	tbodyaccmagstandarddeviation	-0.79514486386
1	LAYING	tgravityaccmagmean	-0.8419291525
1	LAYING	tgravityaccmagstandarddeviation	-0.79514486386
1	LAYING	tbodyaccjerkmagmean	-0.9543962646
1	LAYING	tbodyaccjerkmagstandarddeviation	-0.9282456284
1	LAYING	tbodygyromagmean	-0.874759548
1	LAYING	tbodygyromagstandarddeviation	-0.81901016976
1	LAYING	tbodygyrojerkmagmean	-0.96346103
1	LAYING	tbodygyrojerkmagstandarddeviation	-0.9358409828
1	LAYING	fbodyaccmeanx	-0.9390990524
1	LAYING	fbodyaccmeany	-0.86706520518
1	LAYING	fbodyaccmeanz	-0.8826668762
1	LAYING	fbodyaccstandarddeviationx	-0.9244374346
1	LAYING	fbodyaccstandarddeviationy	-0.8336255561
1	LAYING	fbodyaccstandarddeviationz	-0.81289155944
1	LAYING	fbodyaccjerkmeanx	-0.9570738838
1	LAYING	fbodyaccjerkmeany	-0.9224626098
1	LAYING	fbodyaccjerkmeanz	-0.9480609042
1	LAYING	fbodyaccjerkstandarddeviationx	-0.9641607086
1	LAYING	fbodyaccjerkstandarddeviationy	-0.9322178704
1	LAYING	fbodyaccjerkstandarddeviationz	-0.9605869872
1	LAYING	fbodygyromeanx	-0.850249174586
1	LAYING	fbodygyromeany	-0.9521914948
1	LAYING	fbodygyromeanz	-0.909302721
1	LAYING	fbodygyrostandarddeviationx	-0.8822964508
1	LAYING	fbodygyrostandarddeviationy	-0.9512320494
1	LAYING	fbodygyrostandarddeviationz	-0.9165825082
1	LAYING	fbodyaccmagmean	-0.8617676481
1	LAYING	fbodyaccmagstandarddeviation	-0.7983009404
1	LAYING	fbodybodyaccjerkmagmean	-0.9333003608
1	LAYING	fbodybodyaccjerkmagstandarddeviation	-0.9218039756
1	LAYING	fbodybodygyromagmean	-0.8621901854
1	LAYING	fbodybodygyromagstandarddeviation	-0.82431943968
1	LAYING	fbodybodygyrojerkmagmean	-0.9423669466
1	LAYING	fbodybodygyrojerkmagstandarddeviation	-0.9326606676
1	SITTING	tbodyaccmeanx	0.261237565425532
1	SITTING	tbodyaccmeany	-0.00130828765170213
1	SITTING	tbodyaccmeanz	-0.104544182255319
1	SITTING	tbodyaccstandarddeviationx	-0.977229008297872
1	SITTING	tbodyaccstandarddeviationy	-0.922618641914894
1	SITTING	tbodyaccstandarddeviationz	-0.93958629106383
1	SITTING	tgravityaccmeanx	0.831509933404255
1	SITTING	tgravityaccmeany	0.204411592680851
1	SITTING	tgravityaccmeanz	0.332043702765957
1	SITTING	tgravityaccstandarddeviationx	-0.968457145744681
1	SITTING	tgravityaccstandarddeviationy	-0.935517055957447
1	SITTING	tgravityaccstandarddeviationz	-0.949040933191489
1	SITTING	tbodyaccjerkmeanx	0.0774825199574468
1	SITTING	tbodyaccjerkmeany	-0.000619102785106384
1	SITTING	tbodyaccjerkmeanz	-0.00336779235021277
1	SITTING	tbodyaccjerkstandarddeviationx	-0.986430711276596
1	SITTING	tbodyaccjerkstandarddeviationy	-0.981371965319149
1	SITTING	tbodyaccjerkstandarddeviationz	-0.987910804468085
1	SITTING	tbodygyromeanx	-0.045350056512766
1	SITTING	tbodygyromeany	-0.0919241549361702
1	SITTING	tbodygyromeanz	0.0629313811914894
1	SITTING	tbodygyrostandarddeviationx	-0.977211283191489
1	SITTING	tbodygyrostandarddeviationy	-0.966473895319149
1	SITTING	tbodygyrostandarddeviationz	-0.941425920851064
1	SITTING	tbodygyrojerkmeanx	-0.0936793807234043
1	SITTING	tbodygyrojerkmeany	-0.0402118124255319
1	SITTING	tbodygyrojerkmeanz	-0.046702627
1	SITTING	tbodygyrojerkstandarddeviationx	-0.99173159212766
1	SITTING	tbodygyrojerkstandarddeviationy	-0.989518068510638
1	SITTING	tbodygyrojerkstandarddeviationz	-0.987935806382979
1	SITTING	tbodyaccmagmean	-0.948536786170213
1	SITTING	tbodyaccmagstandarddeviation	-0.927078418723404
1	SITTING	tgravityaccmagmean	-0.948536786170213
1	SITTING	tgravityaccmagstandarddeviation	-0.927078418723404
1	SITTING	tbodyaccjerkmagmean	-0.987364195531915
1	SITTING	tbodyaccjerkmagstandarddeviation	-0.984120024042553
1	SITTING	tbodygyromagmean	-0.93089249
1	SITTING	tbodygyromagstandarddeviation	-0.934531840425532
1	SITTING	tbodygyrojerkmagmean	-0.991976341276596
1	SITTING	tbodygyrojerkmagstandarddeviation	-0.988308728510638
1	SITTING	fbodyaccmeanx	-0.979641238723404
1	SITTING	fbodyaccmeany	-0.944084550425532
1	SITTING	fbodyaccmeanz	-0.959184889148936
1	SITTING	fbodyaccstandarddeviationx	-0.976412313191489
1	SITTING	fbodyaccstandarddeviationy	-0.917275006382979
1	SITTING	fbodyaccstandarddeviationz	-0.934469558085106
1	SITTING	fbodyaccjerkmeanx	-0.986597022553191
1	SITTING	fbodyaccjerkmeany	-0.981579467021277
1	SITTING	fbodyaccjerkmeanz	-0.986053092340425
1	SITTING	fbodyaccjerkstandarddeviationx	-0.987492994468085
1	SITTING	fbodyaccjerkstandarddeviationy	-0.982513909574468
1	SITTING	fbodyaccjerkstandarddeviationz	-0.988339184893617
1	SITTING	fbodygyromeanx	-0.976161464042553
1	SITTING	fbodygyromeany	-0.975838585319149
1	SITTING	fbodygyromeanz	-0.951315544468085
1	SITTING	fbodygyrostandarddeviationx	-0.977904227021277
1	SITTING	fbodygyrostandarddeviationy	-0.962345042553192
1	SITTING	fbodygyrostandarddeviationz	-0.94391784106383
1	SITTING	fbodyaccmagmean	-0.947782922553192
1	SITTING	fbodyaccmagstandarddeviation	-0.928444801702128
1	SITTING	fbodybodyaccjerkmagmean	-0.985262126808511
1	SITTING	fbodybodyaccjerkmagstandarddeviation	-0.981606177446808
1	SITTING	fbodybodygyromagmean	-0.958435589361702
1	SITTING	fbodybodygyromagstandarddeviation	-0.932198374893617
1	SITTING	fbodybodygyrojerkmagmean	-0.989797547234043
1	SITTING	fbodybodygyrojerkmagstandarddeviation	-0.987049617234043
1	STANDING	tbodyaccmeanx	0.278917629056604
1	STANDING	tbodyaccmeany	-0.0161375901037736
1	STANDING	tbodyaccmeanz	-0.110601817735849
1	STANDING	tbodyaccstandarddeviationx	-0.995759901509434
1	STANDING	tbodyaccstandarddeviationy	-0.973190056415094
1	STANDING	tbodyaccstandarddeviationz	-0.979775876981132
1	STANDING	tgravityaccmeanx	0.942952000377358
1	STANDING	tgravityaccmeany	-0.272983832264151
1	STANDING	tgravityaccmeanz	0.0134905823226415
1	STANDING	tgravityaccstandarddeviationx	-0.99376298509434
1	STANDING	tgravityaccstandarddeviationy	-0.981225957924528
1	STANDING	tgravityaccstandarddeviationz	-0.976324063584906
1	STANDING	tbodyaccjerkmeanx	0.0753766542264151
1	STANDING	tbodyaccjerkmeany	0.00797573092830189
1	STANDING	tbodyaccjerkmeanz	-0.00368524954709434
1	STANDING	tbodyaccjerkstandarddeviationx	-0.994604542264151
1	STANDING	tbodyaccjerkstandarddeviationy	-0.98564873245283
1	STANDING	tbodyaccjerkstandarddeviationz	-0.992251177358491
1	STANDING	tbodygyromeanx	-0.0239877347979245
1	STANDING	tbodygyromeany	-0.0593972209811321
1	STANDING	tbodygyromeanz	0.074800751
1	STANDING	tbodygyrostandarddeviationx	-0.987191946603774
1	STANDING	tbodygyrostandarddeviationy	-0.98773444
1	STANDING	tbodygyrostandarddeviationz	-0.980645626981132
1	STANDING	tbodygyrojerkmeanx	-0.0996092129056604
1	STANDING	tbodygyrojerkmeany	-0.0440627877924528
1	STANDING	tbodygyrojerkmeanz	-0.0489505466716981
1	STANDING	tbodygyrojerkstandarddeviationx	-0.992945106981132
1	STANDING	tbodygyrojerkstandarddeviationy	-0.995137917358491
1	STANDING	tbodygyrojerkstandarddeviationz	-0.992108467169811
1	STANDING	tbodyaccmagmean	-0.984278207358491
1	STANDING	tbodyaccmagstandarddeviation	-0.981942928867925
1	STANDING	tgravityaccmagmean	-0.984278207358491
1	STANDING	tgravityaccmagstandarddeviation	-0.981942928867925
1	STANDING	tbodyaccjerkmagmean	-0.992367790566038
1	STANDING	tbodyaccjerkmagstandarddeviation	-0.993096209433962
1	STANDING	tbodygyromagmean	-0.976493792830189
1	STANDING	tbodygyromagstandarddeviation	-0.978690028679245
1	STANDING	tbodygyrojerkmagmean	-0.994966790566038
1	STANDING	tbodygyrojerkmagstandarddeviation	-0.994733238679245
1	STANDING	fbodyaccmeanx	-0.995249932641509
1	STANDING	fbodyaccmeany	-0.977070847735849
1	STANDING	fbodyaccmeanz	-0.985297098679245
1	STANDING	fbodyaccstandarddeviationx	-0.99602834509434
1	STANDING	fbodyaccstandarddeviationy	-0.972293102075472
1	STANDING	fbodyaccstandarddeviationz	-0.977937259622642
1	STANDING	fbodyaccjerkmeanx	-0.994630797358491
1	STANDING	fbodyaccjerkmeany	-0.985418704528302
1	STANDING	fbodyaccjerkmeanz	-0.990752166037736
1	STANDING	fbodyaccjerkstandarddeviationx	-0.995073759245283
1	STANDING	fbodyaccjerkstandarddeviationy	-0.987018226792453
1	STANDING	fbodyaccjerkstandarddeviationz	-0.992349818113208
1	STANDING	fbodygyromeanx	-0.986386786037736
1	STANDING	fbodygyromeany	-0.988984455849057
1	STANDING	fbodygyromeanz	-0.980773122830189
1	STANDING	fbodygyrostandarddeviationx	-0.987497128679245
1	STANDING	fbodygyrostandarddeviationy	-0.987107727735849
1	STANDING	fbodygyrostandarddeviationz	-0.98234533
1	STANDING	fbodyaccmagmean	-0.985356361132075
1	STANDING	fbodyaccmagstandarddeviation	-0.982313804716981
1	STANDING	fbodybodyaccjerkmagmean	-0.99254247754717
1	STANDING	fbodybodyaccjerkmagstandarddeviation	-0.992536003396226
1	STANDING	fbodybodygyromagmean	-0.984617623396226
1	STANDING	fbodybodygyromagstandarddeviation	-0.978466072075472
1	STANDING	fbodybodygyrojerkmagmean	-0.994815376981132
1	STANDING	fbodybodygyrojerkmagstandarddeviation	-0.994671123207547
1	WALKING	tbodyaccmeanx	0.277330758736842
1	WALKING	tbodyaccmeany	-0.0173838185273684
1	WALKING	tbodyaccmeanz	-0.111148103547368
1	WALKING	tbodyaccstandarddeviationx	-0.283740258842105
1	WALKING	tbodyaccstandarddeviationy	0.114461336747368
1	WALKING	tbodyaccstandarddeviationz	-0.260027902210526
1	WALKING	tgravityaccmeanx	0.935223201473684
1	WALKING	tgravityaccmeany	-0.282165021263158
1	WALKING	tgravityaccmeanz	-0.068102864
1	WALKING	tgravityaccstandarddeviationx	-0.976609642526316
1	WALKING	tgravityaccstandarddeviationy	-0.971305961473684
1	WALKING	tgravityaccstandarddeviationz	-0.947717226105263
1	WALKING	tbodyaccjerkmeanx	0.0740416333157895
1	WALKING	tbodyaccjerkmeany	0.0282721095884211
1	WALKING	tbodyaccjerkmeanz	-0.00416840617789474
1	WALKING	tbodyaccjerkstandarddeviationx	-0.113615602435789
1	WALKING	tbodyaccjerkstandarddeviationy	0.0670025007684211
1	WALKING	tbodyaccjerkstandarddeviationz	-0.502699788526316
1	WALKING	tbodygyromeanx	-0.041830963526
1	WALKING	tbodygyromeany	-0.0695300462115789
1	WALKING	tbodygyromeanz	0.0849448173042105
1	WALKING	tbodygyrostandarddeviationx	-0.473535485894737
1	WALKING	tbodygyrostandarddeviationy	-0.0546077686594737
1	WALKING	tbodygyrostandarddeviationz	-0.344266629473684
1	WALKING	tbodygyrojerkmeanx	-0.0899975423705263
1	WALKING	tbodygyrojerkmeany	-0.0398428709463158
1	WALKING	tbodygyrojerkmeanz	-0.0461309295021053
1	WALKING	tbodygyrojerkstandarddeviationx	-0.207421854757895
1	WALKING	tbodygyrojerkstandarddeviationy	-0.304468510631579
1	WALKING	tbodygyrojerkstandarddeviationz	-0.404255452631579
1	WALKING	tbodyaccmagmean	-0.136971176556842
1	WALKING	tbodyaccmagstandarddeviation	-0.219688645631579
1	WALKING	tgravityaccmagmean	-0.136971176556842
1	WALKING	tgravityaccmagstandarddeviation	-0.219688645631579
1	WALKING	tbodyaccjerkmagmean	-0.141428809031579
1	WALKING	tbodyaccjerkmagstandarddeviation	-0.0744717500625263
1	WALKING	tbodygyromagmean	-0.160979552536842
1	WALKING	tbodygyromagstandarddeviation	-0.186978364526316
